Substation,Latitude,Longitude
Agus 1,8.00501040222165,124.285677284059
Agus 2,8.04996716101248,124.273429445738
Agus 4,8.13520482758386,124.202732843339
Agus 5,8.17172639995061,124.195938544027
Agus 6,8.18381688151630,124.193841072562
Aurora,7.92976000819544,123.591072410183
Baloi,8.15740836373902,124.204848859327
Bislig,8.14723075220243,126.359324599677
Bunawan,7.24250585155044,125.629487575869
Butuan,8.91926601318383,125.514477831082
Culaman,6.39584622155544,125.617321707405
Davao,7.09508344625888,125.481610187560
FDC,8.56132775545909,124.747836898109
General Santos,6.20313652574590,125.147933813320
IDPP,8.21609275640433,124.239033295391
Jasaan,8.60135656496890,124.768561491137
Kamanga,5.86828922924436,125.080266124391
Kauswagan,8.18768218227752,124.095802722678
Kibawe,7.54968665829668,124.971455781338
Kidapawan,7.01363988395990,125.219050537052
Lala,7.91165867455766,123.811223130257
Lugait,8.33824330713244,124.274881966001
Maco,7.40297787858636,125.852892299267
Manolo Fortich,8.38599675916632,124.884473838260
Maramag,7.71285269151932,125.018720315844
Matanao,6.75667816950974,125.274311555258
Nabunturan,7.49800676351695,126.016956323666
Naga,7.80943392254711,122.687701786928
Nasipit,8.98419026477419,125.327010149556
Opol,8.48720407656102,124.534245322959
Pitogo,6.94059888964251,121.991773144763
Placer,9.62397980241994,125.552089708342
Polanco,8.48523940555174,123.412149708330
San Francisco,8.50212225298996,125.994307419144
Sultan Kudarat,7.27470704663985,124.311254196434
Tacurong,6.66918184323693,124.686626037152
Tagoloan,8.53143000000000,124.773960000000
Therma Marine 1,7.34982733776727,125.853305452109
Therma Marine 2,8.97798834730729,125.331658768067
Toril,6.96856498634729,125.476431942287
Villanueva,8.55461216205239,124.790256181346
WMPC,7.08168820532738,122.213911859218
Zamboanga,7.08036593354022,122.215192243803
